REGISTRATION TYPE,ENTITY TYPE,ENTITY,GST NO,STATE,CATEGORY,PLASTIC TYPE,INVOICE No,RECYCLED CONTENT %,BANK ACCOUNT  NO,IFSC,Sum of QTY  MT,Sum of GST PAID,EPR,EPR Invoice Number,Status,Upload Status,datetime,message
Registered,PRODUCER,UFLEX LIMITED,01AAACF0109J1ZE,JAMMU AND KASHMIR,CAT 2,PET,AF130252601336,90,4441008700000569,PUNB0444100,0.6525,15268.5,,9419115705,Filled,"Failed: locator.waitFor: Target page, context or browser has been closed
Call log:
[2m  - waiting for locator('input[type=""text""].form-control.w-60, input[type=""text""][checkregex]').last() to be visible[22m",2026-04-23T12:41:56.655Z,"locator.waitFor: Target page, context or browser has been closed
Call log:
[2m  - waiting for locator('input[type=""text""].form-control.w-60, input[type=""text""][checkregex]').last() to be visible[22m
"
Registered,PRODUCER,UFLEX LIMITED,01AAACF0109J1ZE,JAMMU AND KASHMIR,CAT 2,PET,AF130252601336,90,4441008700000569,PUNB0444100,0.6525,15268.5,,202604238175587,Filled,"Failed: locator.waitFor: Timeout 30000ms exceeded.
Call log:
[2m  - waiting for locator('input[type=""text""].form-control.w-60, input[type=""text""][checkregex]').last() to be visible[22m
[2m    62 × locator resolved to hidden <input type=""text"" checkregex="""" kluserinputvalidator="""" _ngcontent-ng-c1973799827="""" placeholder=""Search GST E-Invoice No"" class=""form-control border ng-untouched ng-pristine ng-valid""/>[22m",2026-04-23T12:47:03.559Z,"locator.waitFor: Timeout 30000ms exceeded.
Call log:
[2m  - waiting for locator('input[type=""text""].form-control.w-60, input[type=""text""][checkregex]').last() to be visible[22m
[2m    62 × locator resolved to hidden <input type=""text"" checkregex="""" kluserinputvalidator="""" _ngcontent-ng-c1973799827="""" placeholder=""Search GST E-Invoice No"" class=""form-control border ng-untouched ng-pristine ng-valid""/>[22m
"
Registered,PRODUCER,UFLEX LIMITED,01AAACF0109J1ZE,JAMMU AND KASHMIR,CAT 2,PET,AF130252601730,90,4441008700000569,PUNB0444100,2.1256999999999997,48593.5,,202604238175657,Filled,"Failed: locator.waitFor: Timeout 30000ms exceeded.
Call log:
[2m  - waiting for locator('input[type=""text""].form-control.w-60, input[type=""text""][checkregex]').last() to be visible[22m
[2m    61 × locator resolved to hidden <input type=""text"" checkregex="""" kluserinputvalidator="""" _ngcontent-ng-c1973799827="""" placeholder=""Search GST E-Invoice No"" class=""form-control border ng-untouched ng-pristine ng-valid""/>[22m",2026-04-23T12:47:34.214Z,"locator.waitFor: Timeout 30000ms exceeded.
Call log:
[2m  - waiting for locator('input[type=""text""].form-control.w-60, input[type=""text""][checkregex]').last() to be visible[22m
[2m    61 × locator resolved to hidden <input type=""text"" checkregex="""" kluserinputvalidator="""" _ngcontent-ng-c1973799827="""" placeholder=""Search GST E-Invoice No"" class=""form-control border ng-untouched ng-pristine ng-valid""/>[22m
"
Registered,PRODUCER,UFLEX LIMITED,01AAACF0109J1ZE,JAMMU AND KASHMIR,CAT 2,PET,AF130252601785,90,4441008700000569,PUNB0444100,2.1444,49020.979999999996,,202604238175704,Filled,"Failed: locator.waitFor: Target page, context or browser has been closed
Call log:
[2m  - waiting for locator('input[type=""text""].form-control.w-60, input[type=""text""][checkregex]').last() to be visible[22m
[2m    47 × locator resolved to hidden <input type=""text"" checkregex="""" kluserinputvalidator="""" _ngcontent-ng-c1973799827="""" placeholder=""Search GST E-Invoice No"" class=""form-control border ng-untouched ng-pristine ng-valid""/>[22m",2026-04-23T12:47:56.891Z,"locator.waitFor: Target page, context or browser has been closed
Call log:
[2m  - waiting for locator('input[type=""text""].form-control.w-60, input[type=""text""][checkregex]').last() to be visible[22m
[2m    47 × locator resolved to hidden <input type=""text"" checkregex="""" kluserinputvalidator="""" _ngcontent-ng-c1973799827="""" placeholder=""Search GST E-Invoice No"" class=""form-control border ng-untouched ng-pristine ng-valid""/>[22m
"
Registered,PRODUCER,UFLEX LIMITED,01AAACF0109J1ZE,JAMMU AND KASHMIR,CAT 2,PET,AF130252601336,90,4441008700000569,PUNB0444100,0.6525,15268.5,,202604238175587,Filled,"Failed: locator.waitFor: Timeout 20000ms exceeded.
Call log:
[2m  - waiting for locator('#ScrollableSimpleTableBody tr').filter({ hasText: '202604238175587' }).first() to be visible[22m",2026-04-23T12:51:18.861Z,"locator.waitFor: Timeout 20000ms exceeded.
Call log:
[2m  - waiting for locator('#ScrollableSimpleTableBody tr').filter({ hasText: '202604238175587' }).first() to be visible[22m
"
Registered,PRODUCER,UFLEX LIMITED,01AAACF0109J1ZE,JAMMU AND KASHMIR,CAT 2,PET,AF130252601730,90,4441008700000569,PUNB0444100,2.1256999999999997,48593.5,,202604238175657,Filled,Invoice Uploaded,2026-04-23T12:51:22.836Z,"×
Success
Invoice receipt updated successfully
×
Success
data fetch success"
Registered,PRODUCER,UFLEX LIMITED,01AAACF0109J1ZE,JAMMU AND KASHMIR,CAT 2,PET,AF130252601785,90,4441008700000569,PUNB0444100,2.1444,49020.979999999996,,202604238175704,Filled,Invoice Uploaded,2026-04-23T12:51:26.807Z,"×
Success
data fetch success
×
Success
Invoice receipt updated successfully"
Registered,PRODUCER,UFLEX LIMITED,01AAACF0109J1ZE,JAMMU AND KASHMIR,CAT 2,PET,AF130252601798,90,4441008700000569,PUNB0444100,9.3034,212675.72,,202604238175727,Filled,Invoice Uploaded,2026-04-23T12:51:30.541Z,"×
Success
Invoice receipt updated successfully
×
Success
data fetch success"
Registered,PRODUCER,UFLEX LIMITED,01AAACF0109J1ZE,JAMMU AND KASHMIR,CAT 2,PET,AF130252601906,90,4441008700000569,PUNB0444100,2.1439,49009.56,,202604238175728,Filled,Invoice Uploaded,2026-04-23T12:51:34.290Z,"×
Success
data fetch success
×
Success
Invoice receipt updated successfully"
Registered,PRODUCER,UFLEX LIMITED,01AAACF0109J1ZE,JAMMU AND KASHMIR,CAT 2,PET,AF130252601940,90,4441008700000569,PUNB0444100,6.60315,156033.56,,202604238175733,Filled,Invoice Uploaded,2026-04-23T12:51:38.017Z,"×
Success
Invoice receipt updated successfully
×
Success
data fetch success"
