datetime,row,invoice_no,epr_invoice_number,status,message
2026-04-23T12:41:56.650Z,2,AF130252601336,9419115705,Failed,"locator.waitFor: Target page, context or browser has been closed
Call log:
[2m  - waiting for locator('input[type=""text""].form-control.w-60, input[type=""text""][checkregex]').last() to be visible[22m
"
2026-04-23T12:47:03.519Z,2,AF130252601336,202604238175587,Failed,"locator.waitFor: Timeout 30000ms exceeded.
Call log:
[2m  - waiting for locator('input[type=""text""].form-control.w-60, input[type=""text""][checkregex]').last() to be visible[22m
[2m    62 × locator resolved to hidden <input type=""text"" checkregex="""" kluserinputvalidator="""" _ngcontent-ng-c1973799827="""" placeholder=""Search GST E-Invoice No"" class=""form-control border ng-untouched ng-pristine ng-valid""/>[22m
"
2026-04-23T12:47:34.211Z,3,AF130252601730,202604238175657,Failed,"locator.waitFor: Timeout 30000ms exceeded.
Call log:
[2m  - waiting for locator('input[type=""text""].form-control.w-60, input[type=""text""][checkregex]').last() to be visible[22m
[2m    61 × locator resolved to hidden <input type=""text"" checkregex="""" kluserinputvalidator="""" _ngcontent-ng-c1973799827="""" placeholder=""Search GST E-Invoice No"" class=""form-control border ng-untouched ng-pristine ng-valid""/>[22m
"
2026-04-23T12:47:56.888Z,4,AF130252601785,202604238175704,Failed,"locator.waitFor: Target page, context or browser has been closed
Call log:
[2m  - waiting for locator('input[type=""text""].form-control.w-60, input[type=""text""][checkregex]').last() to be visible[22m
[2m    47 × locator resolved to hidden <input type=""text"" checkregex="""" kluserinputvalidator="""" _ngcontent-ng-c1973799827="""" placeholder=""Search GST E-Invoice No"" class=""form-control border ng-untouched ng-pristine ng-valid""/>[22m
"
2026-04-23T12:51:18.860Z,2,AF130252601336,202604238175587,Failed,"locator.waitFor: Timeout 20000ms exceeded.
Call log:
[2m  - waiting for locator('#ScrollableSimpleTableBody tr').filter({ hasText: '202604238175587' }).first() to be visible[22m
"
2026-04-23T12:51:22.835Z,3,AF130252601730,202604238175657,success,"×
Success
Invoice receipt updated successfully
×
Success
data fetch success"
2026-04-23T12:51:26.806Z,4,AF130252601785,202604238175704,success,"×
Success
data fetch success
×
Success
Invoice receipt updated successfully"
2026-04-23T12:51:30.541Z,5,AF130252601798,202604238175727,success,"×
Success
Invoice receipt updated successfully
×
Success
data fetch success"
2026-04-23T12:51:34.289Z,6,AF130252601906,202604238175728,success,"×
Success
data fetch success
×
Success
Invoice receipt updated successfully"
2026-04-23T12:51:38.016Z,7,AF130252601940,202604238175733,success,"×
Success
Invoice receipt updated successfully
×
Success
data fetch success"
2026-04-23T12:51:41.741Z,8,AF130252601981,202604238175740,success,"×
Success
data fetch success
×
Success
Invoice receipt updated successfully"
2026-04-23T12:51:45.470Z,9,AF130252602029,202604238175741,success,"×
Success
Invoice receipt updated successfully
×
Success
data fetch success"
2026-04-23T12:51:49.345Z,10,AF130252602030,202604238175744,success,"×
Success
data fetch success
×
Success
Invoice receipt updated successfully"
2026-04-23T12:51:53.117Z,11,AF130252602081,202604238175760,success,"×
Success
Invoice receipt updated successfully
×
Success
data fetch success"
2026-04-23T12:51:54.651Z,12,AF130252602148,202604238175770,Failed,"page.waitForTimeout: Target page, context or browser has been closed"
2026-04-23T12:51:54.867Z,13,AF130252602161,202604238175777,Failed,"locator.waitFor: Target page, context or browser has been closed"
2026-04-23T12:54:28.955Z,2,AF130252601336,202604238175587,Failed,"locator.waitFor: Timeout 20000ms exceeded.
Call log:
[2m  - waiting for locator('#ScrollableSimpleTableBody tr').filter({ hasText: '202604238175587' }).first() to be visible[22m
"
2026-04-23T12:54:32.992Z,12,AF130252602148,202604238175770,success,"×
Success
Invoice receipt updated successfully
×
Success
data fetch success"
2026-04-23T12:54:36.808Z,13,AF130252602161,202604238175777,success,"×
Success
data fetch success
×
Success
Invoice receipt updated successfully"
2026-04-23T12:54:40.916Z,14,AF130252602184,202604238175780,success,"×
Success
Invoice receipt updated successfully
×
Success
data fetch success"
2026-04-23T12:54:44.977Z,15,AF130252602434,202604238175786,success,"×
Success
data fetch success
×
Success
Invoice receipt updated successfully"
2026-04-23T12:54:48.901Z,16,AF130252602531,202604238175898,success,"×
Success
data fetch success
×
Success
Invoice receipt updated successfully"
2026-04-23T12:54:52.843Z,17,AF130252602555,202604238175903,success,"×
Success
data fetch success
×
Success
Invoice receipt updated successfully"
2026-04-23T12:54:56.855Z,18,AF130252602579,202604238175910,success,"×
Success
Invoice receipt updated successfully
×
Success
data fetch success"
2026-04-23T12:55:00.833Z,19,AF130252602645,202604238175912,success,"×
Success
data fetch success
×
Success
Invoice receipt updated successfully"
2026-04-23T12:55:05.018Z,20,AF130252602681,202604238175919,success,"×
Success
Invoice receipt updated successfully
×
Success
data fetch success"
2026-04-23T12:55:09.037Z,21,AF130252602705,202604238175928,success,"×
Success
data fetch success
×
Success
Invoice receipt updated successfully"
2026-04-23T12:55:13.073Z,22,AF130252602724,202604238175934,success,"×
Success
data fetch success
×
Success
Invoice receipt updated successfully"
2026-04-23T12:55:16.879Z,23,AF130252602831,202604238175940,success,"×
Success
data fetch success
×
Success
Invoice receipt updated successfully"
2026-04-23T12:55:20.772Z,24,AF130252602842,202604238175943,success,"×
Success
Invoice receipt updated successfully
×
Success
data fetch success"
2026-04-23T12:55:25.311Z,25,AF130252602855,202604238175949,success,"×
Success
data fetch success"
2026-04-23T12:55:29.125Z,26,AF130252602984,202604238175955,success,"×
Success
Invoice receipt updated successfully
×
Success
data fetch success"
2026-04-23T12:55:33.766Z,27,AF130252603005,202604238175961,success,"×
Success
data fetch success"
2026-04-23T12:55:37.635Z,28,AF130252603037,202604238175966,success,"×
Success
data fetch success
×
Success
Invoice receipt updated successfully"
2026-04-23T12:55:41.481Z,29,AF130252603049,202604238175969,success,"×
Success
data fetch success
×
Success
Invoice receipt updated successfully"
2026-04-23T12:55:45.350Z,30,AF130252603088,202604238175976,success,"×
Success
Invoice receipt updated successfully
×
Success
data fetch success"
2026-04-23T12:55:49.245Z,31,AF130252603099,202604238175983,success,"×
Success
data fetch success
×
Success
Invoice receipt updated successfully"
2026-04-23T12:55:53.479Z,32,AF130252603129,202604238175989,success,"×
Success
Invoice receipt updated successfully
×
Success
data fetch success"
2026-04-23T12:55:57.413Z,33,AF130252603214,202604238175994,success,"×
Success
data fetch success
×
Success
Invoice receipt updated successfully"
