datetime,row,e_invoice_number,sales_date,quantity_sold_mt,registration_type,entity_name,seller_gst,buyer_gst,epr_invoice_number,status,message
2026-04-24T12:52:04.101Z,2,IN0525000001,01-04-2025,5,Unregistered,MARICO LIMITED,05AAACE0119K1Z3,18AAACM7493G5Z2,202604248251553,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:52:13.008Z,3,IN0525000003,01-04-2025,10,Unregistered,MARICO LIMITED,05AAACE0119K1Z3,18AAACM7493G5Z2,202604248251578,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:52:21.904Z,4,IN0525000002,01-04-2025,15,Unregistered,MARICO LIMITED,05AAACE0119K1Z3,18AAACM7493G3Z4,202604248251604,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:52:33.119Z,5,IN0525000406,26-04-2025,10,Unregistered,ITC LIMITED,05AAACE0119K1Z3,01AAACI5950L3ZM,202604248254072,Filled,
2026-04-24T12:52:42.477Z,6,IN0525000599,08-05-2025,5,Unregistered,GDK SOLUTIONS,05AAACE0119K1Z3,09AAGFG7759L2ZM,202604248251657,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:52:51.518Z,7,IN0525000726,14-05-2025,1,Unregistered,WEENER EMPIRE PLASTICS PRIVATE LIMI,05AAACE0119K1Z3,05AAACE5238K1ZP,202604248251680,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:53:00.524Z,8,IN0525000742,15-05-2025,15,Unregistered,MARICO LIMITED,05AAACE0119K1Z3,18AAACM7493G5Z2,202604248251697,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:53:09.470Z,9,IN0525000743,15-05-2025,15,Unregistered,MARICO LIMITED,05AAACE0119K1Z3,18AAACM7493G5Z2,202604248251717,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:53:18.723Z,10,IN0525001246,13-06-2025,5,Unregistered,GDK SOLUTIONS,05AAACE0119K1Z3,09AAGFG7759L2ZM,202604248251743,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:53:28.021Z,11,IN0525001479,27-06-2025,5,Unregistered,GDK SOLUTIONS,05AAACE0119K1Z3,09AAGFG7759L2ZM,202604248251771,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:53:39.263Z,12,IN0525001576,03-07-2025,10,Unregistered,ITC LIMITED,05AAACE0119K1Z3,01AAACI5950L3ZM,202604248254348,Filled,
2026-04-24T12:53:50.461Z,13,IN0525002129,08-08-2025,1,Unregistered,G POLYPLAST INDUSTRIES PVT LTD,05AAACE0119K1Z3,24AALCG5071B1ZW,202604248251831,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:53:59.390Z,14,IN0525002143,08-08-2025,5,Unregistered,INNOVATIVE TECH PACK LIMITED,05AAACE0119K1Z3,02AAACI0144C1ZL,202604248251855,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:54:08.658Z,15,IN0525002196,12-08-2025,5,Unregistered,WEENER EMPIRE PLASTICS PRIVATE LIMI,05AAACE0119K1Z3,05AAACE5238K1ZP,202604248251882,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:54:17.842Z,16,IN0525002217,13-08-2025,6,Unregistered,GDK SOLUTIONS,05AAACE0119K1Z3,09AAGFG7759L2ZM,202604248251915,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:54:26.674Z,17,IN0525002306,19-08-2025,3,Unregistered,INNOVATIVE TECH PACK LIMITED,05AAACE0119K1Z3,02AAACI0144C1ZL,202604248251944,Filled,"×
Success
Sales Receipt Added"
