datetime,row,e_invoice_number,sales_date,quantity_sold_mt,registration_type,entity_name,seller_gst,buyer_gst,epr_invoice_number,status,message
2026-05-27T07:17:32.706Z,8,25219092,2025-10-03,10,Unregistered,SHAKTI POLYMERS,03AAICM5508J1ZI,07AAGPJ3138C1Z5,Confirm Entered Details×Please check and confirm the following details. These details cannot be changed later.Quantity Sold(MT)10Registration TypeUnregisteredName of the EntitySHAKTI POLYMERSAddressNEW DELHIStateDELHIDistrictNew DelhiGST No. of Seller03AAICM5508J1ZIGST No. of Buyer07AAGPJ3138C1Z5hsnCode39021000invno25219092Bank Account No001581400000054IFSC CodeYESB0000015Principal Amount(₹)740000GST Amount(₹)133200Sales date2025-10-03CancelConfirm,Filled,"×
Error
Sales to registered PWP is not allowed !"
2026-05-27T07:17:38.976Z,18,25219097,2025-10-15,17,Unregistered,SHAKTI POLYMERS,03AAICM5508J1ZI,07AAGPJ3138C1Z5,Confirm Entered Details×Please check and confirm the following details. These details cannot be changed later.Registration TypeUnregisteredStateDELHIDistrictNew DelhiQuantity Sold(MT)17Name of the EntitySHAKTI POLYMERSAddressNEW DELHIGST No. of Seller03AAICM5508J1ZIGST No. of Buyer07AAGPJ3138C1Z5hsnCode39021000invno25219097Bank Account No001581400000054IFSC CodeYESB0000015Principal Amount(₹)943500GST Amount(₹)169830Sales date2025-10-15CancelConfirm,Filled,"×
Error
Sales to registered PWP is not allowed !"
2026-05-27T07:17:45.386Z,19,25219098,2025-10-16,15,Unregistered,PB POLYMER,03AAICM5508J1ZI,07AAJPA6266B1Z2,Confirm Entered Details×Please check and confirm the following details. These details cannot be changed later.Registration TypeUnregisteredStateDELHIQuantity Sold(MT)15Name of the EntityPB POLYMERAddressDelhiDistrictCentral DelhiGST No. of Seller03AAICM5508J1ZIGST No. of Buyer07AAJPA6266B1Z2hsnCode39021000invno25219098Bank Account No001581400000054IFSC CodeYESB0000015Principal Amount(₹)825000GST Amount(₹)148500Sales date2025-10-16CancelConfirm,Filled,"×
Error
Sales to registered PWP is not allowed !"
2026-05-27T07:17:51.559Z,21,25219101,2025-10-24,15,Unregistered,PB POLYMER,03AAICM5508J1ZI,07AAJPA6266B1Z2,Confirm Entered Details×Please check and confirm the following details. These details cannot be changed later.Registration TypeUnregisteredStateDELHIDistrictCentral DelhiQuantity Sold(MT)15Name of the EntityPB POLYMERAddressDelhiGST No. of Seller03AAICM5508J1ZIGST No. of Buyer07AAJPA6266B1Z2hsnCode39021000invno25219101Bank Account No001581400000054IFSC CodeYESB0000015Principal Amount(₹)825000GST Amount(₹)148500Sales date2025-10-24CancelConfirm,Filled,"×
Error
Sales to registered PWP is not allowed !"
2026-05-27T07:17:57.754Z,23,25219103,2025-10-25,15,Unregistered,PB POLYMER,03AAICM5508J1ZI,07AAJPA6266B1Z2,Confirm Entered Details×Please check and confirm the following details. These details cannot be changed later.Registration TypeUnregisteredStateDELHIDistrictCentral DelhiQuantity Sold(MT)15Name of the EntityPB POLYMERAddressDelhiGST No. of Seller03AAICM5508J1ZIGST No. of Buyer07AAJPA6266B1Z2hsnCode39021000invno25219103Bank Account No001581400000054IFSC CodeYESB0000015Principal Amount(₹)825000GST Amount(₹)148500Sales date2025-10-25CancelConfirm,Filled,"×
Error
Sales to registered PWP is not allowed !"
2026-05-27T07:18:03.980Z,36,25219110,2025-10-31,15,Unregistered,SHAKTI POLYMERS,03AAICM5508J1ZI,07AAGPJ3138C1Z5,Confirm Entered Details×Please check and confirm the following details. These details cannot be changed later.Registration TypeUnregisteredStateDELHIQuantity Sold(MT)15Name of the EntitySHAKTI POLYMERSAddressNEW DELHIDistrictNew DelhiGST No. of Seller03AAICM5508J1ZIGST No. of Buyer07AAGPJ3138C1Z5hsnCode39021000invno25219110Bank Account No001581400000054IFSC CodeYESB0000015Principal Amount(₹)884100GST Amount(₹)159138Sales date2025-10-31CancelConfirm,Filled,"×
Error
Sales to registered PWP is not allowed !"
2026-05-27T07:18:10.165Z,37,25219111,2025-10-31,15,Unregistered,SHAKTI POLYMERS,03AAICM5508J1ZI,07AAGPJ3138C1Z5,Confirm Entered Details×Please check and confirm the following details. These details cannot be changed later.Registration TypeUnregisteredStateDELHIDistrictNew DelhiQuantity Sold(MT)15Name of the EntitySHAKTI POLYMERSAddressNEW DELHIGST No. of Seller03AAICM5508J1ZIGST No. of Buyer07AAGPJ3138C1Z5hsnCode39021000invno25219111Bank Account No001581400000054IFSC CodeYESB0000015Principal Amount(₹)810000GST Amount(₹)145800Sales date2025-10-31CancelConfirm,Filled,"×
Error
Sales to registered PWP is not allowed !"
2026-05-27T07:18:16.458Z,40,25219114,2025-11-14,15,Unregistered,SHAKTI POLYMERS,03AAICM5508J1ZI,07AAGPJ3138C1Z5,Confirm Entered Details×Please check and confirm the following details. These details cannot be changed later.Registration TypeUnregisteredStateDELHIDistrictNew DelhiQuantity Sold(MT)15Name of the EntitySHAKTI POLYMERSAddressNEW DELHIGST No. of Seller03AAICM5508J1ZIGST No. of Buyer07AAGPJ3138C1Z5hsnCode39021000invno25219114Bank Account No001581400000054IFSC CodeYESB0000015Principal Amount(₹)1025075GST Amount(₹)184513.5Sales date2025-11-14CancelConfirm,Filled,"×
Error
Sales to registered PWP is not allowed !"
2026-05-27T07:18:22.677Z,44,25219118,2025-11-19,15,Unregistered,PB POLYMER,03AAICM5508J1ZI,07AAJPA6266B1Z2,Confirm Entered Details×Please check and confirm the following details. These details cannot be changed later.Registration TypeUnregisteredStateDELHIQuantity Sold(MT)15Name of the EntityPB POLYMERAddressDelhiDistrictCentral DelhiGST No. of Seller03AAICM5508J1ZIGST No. of Buyer07AAJPA6266B1Z2hsnCode39021000invno25219118Bank Account No001581400000054IFSC CodeYESB0000015Principal Amount(₹)817500GST Amount(₹)147150Sales date2025-11-19CancelConfirm,Filled,"×
Error
Sales to registered PWP is not allowed !"
2026-05-27T07:18:28.891Z,45,25219119,2025-11-25,15,Unregistered,PB POLYMER,03AAICM5508J1ZI,07AAJPA6266B1Z2,Confirm Entered Details×Please check and confirm the following details. These details cannot be changed later.Registration TypeUnregisteredStateDELHIDistrictCentral DelhiQuantity Sold(MT)15Name of the EntityPB POLYMERAddressDelhiGST No. of Seller03AAICM5508J1ZIGST No. of Buyer07AAJPA6266B1Z2hsnCode39021000invno25219119Bank Account No001581400000054IFSC CodeYESB0000015Principal Amount(₹)817500GST Amount(₹)147150Sales date2025-11-25CancelConfirm,Filled,"×
Error
Sales to registered PWP is not allowed !"
